entropy_vector Network.target (#0 - General-0-20190613-21:10:20-5717),
30,0.940285958670630023
60,1.487880870325199995
90,2.175789375203700072
120,2.069229289250899657
150,1.950206851370400056
180,2.061094749072100097
210,2.126768060631199822
240,2.13403038518989962
270,2.162178913666600077
300,2.154713381849199463
330,2.11579236861469954
360,2.113393110091999808
390,2.189033453495399675
420,2.174135973999700147
450,2.148490259682399806
480,2.161590944893499781
510,2.29414301362730021
540,2.411990145300699765
570,2.56633731549659937
600,2.648461844863700057
630,2.79259744486189997
660,2.851208947261899757
690,2.86686478971969992
720,2.87097603010319967
750,2.884826686432199405
780,2.880229137291399495
810,2.863857827281199407
840,2.852428456168099465
870,2.841165530935500157
900,2.823124575948099835
930,2.799356077552599397
960,2.78431867040329982
990,2.764942937547199425
1020,2.741958079887400132
1050,2.720400287810699415
1080,2.701359328247099777
1110,2.712163029494499597
1140,2.739789933792599705
1170,2.73290239122849953
1200,2.71082117350199957
1230,2.688140217337399375
1260,2.663663919168899765
1290,2.650309876263099425
1320,2.638145624841599522
1350,2.638145624841599522
1380,2.638145624841599522
1410,2.638145624841599522
1440,2.638145624841599522
1470,2.638145624841599522
1500,2.638145624841599522
1530,2.638145624841599522
1560,2.638145624841599522
1590,2.638145624841599522
1620,2.638145624841599522
1650,2.638145624841599522
1680,2.638145624841599522
1710,2.638145624841599522
1740,2.638145624841599522
1770,2.638145624841599522
1800,2.638145624841599522
1830,2.638145624841599522
1860,2.638145624841599522
1890,2.638145624841599522
1920,2.638145624841599522
1950,2.638145624841599522
1980,2.638145624841599522
