entropy_vector Network.target (#0 - General-0-20190613-18:19:05-3275),
30,0.940285958670630023
60,1.487880870325199995
90,2.175789375203700072
120,2.069229289250899657
150,1.950206851370400056
180,2.061094749072100097
210,2.126768060631199822
240,2.13403038518989962
270,2.162178913666600077
300,2.154713381849199463
330,2.11579236861469954
360,2.113393110091999808
390,2.189033453495399675
420,2.174135973999700147
450,2.148490259682399806
480,2.161590944893499781
510,2.176551156081699457
540,2.176551156081699457
570,2.176551156081699457
600,2.176551156081699457
630,2.176551156081699457
660,2.176551156081699457
690,2.176551156081699457
720,2.176551156081699457
750,2.176551156081699457
780,2.176551156081699457
810,2.176551156081699457
840,2.176551156081699457
870,2.176551156081699457
900,2.176551156081699457
930,2.176551156081699457
960,2.176551156081699457
990,2.176551156081699457
